scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_TM_serviceability_ratio,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent,case_id,decision_class,tm_thm_decision_gap,thermal_drainage_ratio,thermal_pore_pressure_ratio,service_margin_index,thermal_factor,load_factor,head_stiffness_factor,vertical_stiffness_factor,serviceability_limit_factor,cv_factor,mv_factor,lambda_factor
Bridge abutment retrofit matrix 1,bridge abutment or approach foundation,4252.000214133572,672438.9644774761,15.492578586952082,11.096121830172589,stricter screening limit for bridge approach compatibility and differential-settlement control,0.47141683245189886,10.89658338167389,788.800470393906,101.77416077412285,12.069627348581504,15.611145734098203,10.927219009898979,0.7790586493294666,1.0076531577026164,25.903982431756244,1,False Safe,0.22859450837314987,4.49691082528649,1.5858780125805694,-0.007653157702616431,1.3870152287715736,1.0123810033651361,1.2226162990499565,1.0839279884546904,1.032838572463472,0.5614937482208803,1.2237389924841697,0.9131963970487205
Bridge abutment retrofit matrix 2,bridge abutment or approach foundation,4247.873502563275,494557.5511290554,16.797164289119102,10.410485501913485,stricter screening limit for bridge approach compatibility and differential-settlement control,0.39610876312159343,11.915789144911436,621.836618654977,130.68411021603916,13.173148611439343,19.851103755680253,11.948480114599167,0.7842483638725061,1.1818127997080696,35.4213770860078,2,False Safe,0.39756443583556356,2.6166223099240846,1.5991748808961905,-0.18181279970806963,1.3013106877391856,1.0113984529912559,0.8991955475073734,0.9902532240821236,1.1198109526079403,0.9649796629527403,1.1573732397047096,1.2394342579369246
Bridge abutment retrofit matrix 3,bridge abutment or approach foundation,4192.347142024922,299775.6987798858,14.83643478708238,7.265870284347546,stricter screening limit for bridge approach compatibility and differential-settlement control,0.28448250650412266,9.214719818631798,311.69803547463465,71.6856132554831,10.254490676454076,12.763936165588886,9.241650543057059,0.6911694637974846,0.8603101990986437,22.901798314095707,3,Safe-Safe,0.16914073530115914,4.248344618204261,1.5869850189434789,0.1396898009013563,0.9082337855434433,0.9981778909583147,0.5450467250543378,1.2637832681901462,0.9890956524721587,0.5943461610636602,1.2137836060978038,0.9816104911505309
Bridge abutment retrofit matrix 4,bridge abutment or approach foundation,4947.011016296866,854407.1637178435,14.657556730345803,8.959663831893938,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5312190962027344,14.947099617929688,717.7219903618094,121.4974775250728,15.787122994183619,18.9113383890678,14.969006106519942,1.0770637483871548,1.2902108268778054,18.460413282232153,4,Unsafe-Unsafe,0.21314707849065062,4.547490482089941,1.5856663007478158,-0.2902108268778054,1.1199579789867422,1.177859765784968,1.553467570396079,0.9193554347498653,0.9771704486897201,0.5552485100627912,0.8953773025253999,1.3503035316262126
Bridge abutment retrofit matrix 5,bridge abutment or approach foundation,5838.057626814761,829595.1921570314,13.246675843318771,10.948110344256722,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5238740947900293,19.238604347397494,864.88217882261,111.17898874172273,20.281139534437127,28.45615390059675,19.26574864051406,1.5310361462997775,2.1481731898006085,29.510293310937367,5,Unsafe-Unsafe,0.617137043500831,1.9588901860168535,1.6087694476371104,-1.1481731898006085,1.3685137930320903,1.390013720670181,1.5083548948309662,0.8429315582523452,0.8831117228879181,1.288988700198348,1.3692227083292199,0.9966837955051697
Bridge abutment retrofit matrix 6,bridge abutment or approach foundation,2759.468136879722,570175.9207551847,15.90714246778241,10.311782429219225,stricter screening limit for bridge approach compatibility and differential-settlement control,0.43059502935918675,5.8445335414876185,669.5663391060394,163.5621039972979,7.0188488970347525,22.97861596817982,5.8751406864814575,0.44123882785675705,1.444547065239382,70.35729688873825,6,False Safe,1.0033082373826248,1.522367489226897,1.6185088012282338,-0.4445470652393819,1.288972803652403,0.6570162230666005,1.036683492282154,1.3115142918932254,1.0604761645188274,1.6585925097411445,1.5568778272663624,1.5473962346642685
Bridge abutment retrofit matrix 7,bridge abutment or approach foundation,3237.530614226651,648547.7377830689,12.424453030558437,6.926275385635898,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4624127466134201,8.296867241500085,482.9702846568129,87.32517978025727,9.041562283237106,16.907423772169185,8.316186471031905,0.7277231650358388,1.3608183580061595,47.620665737191,7,False Safe,0.6330951929703207,1.0013624450658476,1.6374244761969456,-0.36081835800615947,0.8657844232044872,0.7708406224349169,1.1791777050601253,1.0839200306943877,0.8282968687038958,2.5215518388440517,1.136132766969956,1.2157551259235162
Bridge abutment retrofit matrix 8,bridge abutment or approach foundation,3660.511503991723,976054.2510327761,13.94062107761198,5.335337127524921,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5641813093900452,10.966063779844761,453.91174488035307,77.45473741899073,11.431111439234659,13.060064674255718,10.978178351069815,0.8199858080636392,0.9368352099627473,14.45590189124254,8,Safe-Safe,0.11684940189910809,7.586790278032374,1.5778581767087436,0.06316479003725273,0.6669171409406152,0.8715503580932674,1.7746440927868656,0.9272322061245627,0.9293747385074653,0.3328136434740117,1.1238944788476632,1.4527330210956229
Bridge abutment retrofit matrix 9,bridge abutment or approach foundation,4682.117842276521,338881.2465303032,15.57359994696192,10.159247584210167,stricter screening limit for bridge approach compatibility and differential-settlement control,0.3100856160721357,9.953304647623543,475.04420495209604,129.32476889806773,11.355106045062682,19.952614590090754,9.989649784010158,0.7291253200116922,1.2811819141394527,44.90027553916835,9,False Safe,0.5520565941277605,2.448771809806304,1.601215965563182,-0.2811819141394527,1.2699059480262709,1.1147899624467905,0.6161477209641877,1.3066899241668293,1.038239996464128,1.0311239718595457,1.43627108399729,1.2552721938322806
Bridge abutment retrofit matrix 10,bridge abutment or approach foundation,4940.207685181653,970901.8182828404,17.03777207923229,9.528109364829483,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5628794673979206,16.620344383859504,808.7475895793558,123.63633953934452,17.45333035046293,21.440950976689027,16.64211463945033,1.0243904114515754,1.2584363071051916,20.30354525792464,10,Unsafe-Unsafe,0.23404589565361622,4.65372693587068,1.585235359485537,-0.2584363071051916,1.1910136706036853,1.1762399250432507,1.765276033241528,0.8256627425139998,1.1358514719488193,0.5425731568482661,1.1177232162947246,1.292448682037941
Bridge abutment retrofit matrix 11,bridge abutment or approach foundation,5087.134764898391,696848.8203158153,14.127472923060411,7.712883857707354,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4803101070027788,14.47744394776402,558.6365876482408,103.87437879300346,15.27910504176582,18.92257374021458,14.498271146970602,1.0815172058709515,1.3394167409322781,20.655675438854455,11,Unsafe-Unsafe,0.2578995350613267,3.187756595241853,1.5936357531136733,-0.33941674093227814,0.9641104822134192,1.2112225630710456,1.2669978551196641,0.9760652469787663,0.9418315282040274,0.7920891194999142,0.9203302276616094,1.3343514658512508
Bridge abutment retrofit matrix 12,bridge abutment or approach foundation,4183.4613695632415,566691.2264212251,17.42750423323583,10.184135172586613,stricter screening limit for bridge approach compatibility and differential-settlement control,0.42909261234992213,11.408759958245033,658.9706189633268,109.30578379254439,12.571598887523797,16.231061646903054,11.439038675988419,0.7213654186666969,0.9313474511140241,25.100721138475006,12,Safe-Safe,0.20998203244732716,3.4540552088285033,1.5916077612215578,0.06865254888597594,1.2730168965733266,0.9960622308483907,1.0303476844022275,1.0185792381551808,1.1618336155490554,0.7310211221440068,0.9579281760182521,1.0647572190429542
Bridge abutment retrofit matrix 13,bridge abutment or approach foundation,5371.8466905262785,761580.1607422091,13.262552458046363,6.756846699494965,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5025066351252419,13.11694387049752,512.0079747131098,56.78245617054018,13.789240762021224,15.464358968252638,13.134393932418535,1.0397124388869294,1.1660167993432096,12.054643050687153,13,Unsafe-Unsafe,0.12630436045628013,2.701463480029354,1.5982253594537084,-0.16601679934320956,0.8446058374368707,1.279011116791971,1.384691201349471,1.1375970279277423,0.8841701638697576,0.9346738659882707,0.7209302375103491,0.8302325284114033
Bridge abutment retrofit matrix 14,bridge abutment or approach foundation,4347.365439718695,881515.273838497,12.894121803054082,7.667281919926285,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5389890648388569,13.661857595802413,623.1781899671402,73.86746711550421,14.368797348818324,18.180870268906652,13.680247822416119,1.1143680483470346,1.4100122944860316,21.71650647219262,14,Unsafe-Unsafe,0.295644246138997,1.8526122249691375,1.6108189565991977,-0.4100122944860316,0.9584102399907857,1.035087009456832,1.6027550433427218,0.8839218990278485,0.8596081202036054,1.3629335274127468,0.9365396103294283,0.9443493748968969
Bridge abutment retrofit matrix 15,bridge abutment or approach foundation,5062.0824527567875,301368.1730867567,14.479451693302183,8.061638302586267,stricter screening limit for bridge approach compatibility and differential-settlement control,0.2855621888672202,14.752368636705341,347.1481620508708,69.75294959905821,15.904275815539833,20.177819353685532,14.782186830822562,1.0984031821382254,1.3935485805045549,22.732993115290814,15,Unsafe-Unsafe,0.29514539836632947,2.526363488470388,1.6002440736792234,-0.3935485805045549,1.0077047878232834,1.205257726846854,0.5479421328850123,0.9531581329631797,0.9652967795534788,0.9994552748361412,1.3890200587333725,0.8537302979755493
Bridge abutment retrofit matrix 16,bridge abutment or approach foundation,3827.649772914819,812498.0027046413,14.829233246498102,8.186238173189372,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5186774669622695,9.724440465040429,640.2839511795639,115.7064078893231,10.512484188284287,19.063242795166758,9.7449455879526,0.7089027472655601,1.2855177660428607,45.497770325872445,16,False Safe,0.5766150187773006,1.5467261299209196,1.6178614708160703,-0.2855177660428607,1.0232797716486715,0.9113451840273379,1.4772690958266206,1.0933647564137499,0.9886155497665402,1.632472139611594,1.1922452814721984,1.3794290139847745
Bridge abutment retrofit matrix 17,bridge abutment or approach foundation,3026.2361490087906,790587.7960370053,12.204755584513768,7.748226055130885,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5118497570183854,8.632818432710334,598.0474505241029,103.15004468825737,9.389277681793038,16.029622694379505,8.652491440034394,0.7693130449664063,1.3133915368791975,42.51527761076947,17,False Safe,0.5440784919127912,1.0520709596158428,1.635079636281051,-0.3133915368791975,0.9685282568913606,0.7205324164306645,1.4374323564309186,0.9737505300902326,0.8136503723009179,2.4000161696575555,0.8382803300549492,1.2855704513279602
Bridge abutment retrofit matrix 18,bridge abutment or approach foundation,5223.690266406057,712707.9262284392,17.52169319299197,5.578282882569862,stricter screening limit for bridge approach compatibility and differential-settlement control,0.48592943769863584,19.821552674418346,408.7564349710916,50.18929118079925,20.395078546558114,21.729545614862058,19.83642003499369,1.1639901647584716,1.2401510159733349,6.883096117281316,18,Unsafe-Unsafe,0.07616085121486327,2.6820421066633964,1.5984382016912952,-0.24015101597333488,0.6972853603212328,1.2437357777157279,1.2958325931426167,0.7320441026168311,1.1681128795327982,0.9414420856525565,0.651702047595823,0.8887555615791373
Bridge abutment retrofit matrix 19,bridge abutment or approach foundation,5850.827814151937,820096.0445186835,17.627554726917165,5.49550028811754,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5210008004173595,15.825424616798673,431.7541140744716,63.07094221287095,16.351892360376034,17.70344564506407,15.839084930173989,0.927632482990213,1.0043052436553221,9.070465939084146,19,False Safe,0.0766727606651092,5.975492009581141,1.5810714818605938,-0.004305243655322144,0.6869375360146925,1.3930542414647469,1.491083717306697,1.0269739913647298,1.175170315127811,0.4225572238497824,0.9719883139159731,1.1461414855341143
Bridge abutment retrofit matrix 20,bridge abutment or approach foundation,5578.141190991555,651119.8468251713,16.06468712183891,9.136192025997238,stricter screening limit for bridge approach compatibility and differential-settlement control,0.46339682673927585,11.564193119535584,638.4238952230704,113.64852809944408,12.54469447936357,15.561645029253745,11.589695867251868,0.780886324409634,0.9686864681042363,22.41321922039285,20,Safe-Safe,0.1878001436946023,5.677644574169041,1.5818519920867424,0.03131353189576369,1.1420240032496547,1.3281288549979893,1.1838542669548568,1.3398977759604795,1.0709791414559275,0.4447244419266438,1.1287810451427693,1.2416534635744712
Bridge abutment retrofit matrix 21,bridge abutment or approach foundation,3352.681571085965,793148.9597741179,12.054005361996484,10.603255640671339,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5126578544204066,9.092313300774173,819.705231528458,90.33748802517367,10.125795374257448,11.347589266041597,9.119451617963353,0.8400357449799848,0.9413957373719066,14.216465661153633,21,Safe-Safe,0.10135999239192184,7.962121855661207,1.5772875879821557,0.05860426262809337,1.3254069550839174,0.7982575169252297,1.4420890177711234,1.024272267799518,0.8036003574664323,0.31712492730940234,0.8308840365701726,0.8528753174413232
Bridge abutment retrofit matrix 22,bridge abutment or approach foundation,2733.8860674914,894839.0715831153,14.994621011070576,6.065953637546406,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5427144027069966,9.634498906639486,496.4337426489831,62.74437779690539,10.189273232452853,11.180110925261447,9.64899463281825,0.6795285606038379,0.7456081028661635,11.07399736792841,22,Safe-Safe,0.0660795422623256,6.750547228892729,1.5793450427087354,0.2543918971338365,0.7582442046933008,0.650925254164619,1.6269801301511186,0.7882224118599981,0.9996414007380384,0.374041870842422,0.8209366655384235,1.0341091063532808
